itemId,sourceMcId,sourceMcTitle,description,targetDetectedMcIds,targetSplitMcIds,shouldSplit,caseType,split
3001,111,Демонтажные работы,"Выполняем демонтаж перегородок, снятие старых обоев и подготовку стен под штукатурку. Работаем быстро и аккуратно, возможен выезд в день обращения. Оставляйте заявку в чате.","[106, 108, 111]",[],False,multi_service_no_split,train
3002,102,Сантехника,"Установка и замена сантехнического оборудования, включая раковины, унитазы и смесители. Выполняю также мелкий ремонт труб и устранение течей. Работаю быстро и качественно, предоставляю гарантию на все виды услуг.",[102],[],False,multi_service_no_split,train
3003,103,Электрика,"Установка и замена розеток, выключателей, а также монтаж электропроводки в квартире. Работаю без посредников, опыт более 7 лет. Гарантия на все виды работ. Звоните в любое время.",[103],[],False,single_direct,train
3004,101,Ремонт квартир и домов под ключ,"Комплексный ремонт квартир под ключ в Москве и области. Возможен отдельный монтаж гипсокартонных конструкций, прокладка электропроводки, укладка плитки в ванной или кухне, а также поклейка обоев. Работаем с материалами заказчика или закупаем сами. Гарантия на все виды работ. Звоните для бесплатной консультации.","[101, 110, 103, 105, 106]","[110, 103, 105, 106]",True,turnkey_split,train
3005,108,Штукатурные работы,"Предлагаю услуги:
- штукатурка стен и потолков под ключ
- укладка плитки на пол и стены (можно отдельно)
- монтаж гипсокартонных конструкций
Работаю качественно и быстро, опыт более 7 лет. Выезд для замера бесплатный.","[105, 108, 110]","[105, 110]",True,bullets_mixed,train
3006,108,Штукатурные работы,"Выполняю штукатурные работы любой сложности в квартирах и домах. Подготовка стен под покраску или обои, выравнивание поверхностей. Работаю с материалами заказчика или предоставлю свои. Гарантия на работы 2 года.",[108],[],False,single_direct,train
3007,105,Укладка плитки,Профессиональная укладка плитки на пол и стены. Возможна отделка ванной комнаты под ключ или выполнение работ по штукатурке отдельно. Звоните для обсуждения деталей.,"[101, 105, 108]","[101, 108]",True,multi_service_split,train
3008,105,Укладка плитки,"Качественная укладка плитки любых размеров. Также предлагаем услуги по поклейке обоев и малярным работам — можно заказать как вместе, так и по отдельности. Быстро и аккуратно.","[105, 106, 107]","[106, 107]",True,multi_service_split,test
3009,105,Укладка плитки,"укладка плитки на пол и стены, возможен монтаж плинтусов, звоните","[105, 109]",[],False,noisy_short,train
3010,105,Укладка плитки,"качественная укладка плитки, также укладываем ламинат, обращайтесь","[105, 109]",[],False,noisy_short,test
3011,107,Малярные работы,"Качественная покраска стен и потолков. Также выполняем штукатурные работы отдельно, возможен монтаж гипсокартонных конструкций по желанию заказчика. Работаем быстро и аккуратно.","[107, 108, 110]","[108, 110]",True,multi_service_split,train
3012,110,Гипсокартон,"Установка перегородок из гипсокартона, а также отдельно монтаж потолков. Возможна шпаклевка и покраска стен по отдельности. Звоните для обсуждения деталей.","[107, 110]",[107],True,multi_service_split,train
3013,111,Демонтажные работы,"снос стен и перегородок быстро и аккуратно, вывоз мусора включен лс",[111],[],False,noisy_short,train
3014,111,Демонтажные работы,"Выполню демонтаж перегородок из гипсокартона в офисе или квартире. Работаю аккуратно, вывоз мусора включен. Быстро и недорого.",[111],[],False,single_direct,train
3015,101,Ремонт квартир и домов под ключ,"Предлагаю услуги по ремонту:
- комплексный ремонт квартир и домов под ключ
- поклейка обоев как отдельная услуга
- укладка плитки, можно заказать отдельно
- электромонтажные работы
Опыт работы 8 лет, гарантия на все виды работ.","[101, 103, 105, 106]","[103, 105, 106]",True,bullets_mixed,train
