dataset_name,query,correct_answer,model_answer,judge_score,is_hallucination
rubq-20,Какой стране принадлежит знаменитый остров Пасхи?,Чили,Чили.,не галлюцинация,0
rubq-20,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,'Роллинг Стоунз',The Rolling Stones.,не галлюцинация,0
rubq-20,Где находится Летний сад?,Санкт-Петербург,"Летний сад находится в Санкт-Петербурге, Россия.",не галлюцинация,0
rubq-20,Какой город является столицей Туркмении?,Ашхабад,Ашхабад.,не галлюцинация,0
rubq-20,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон,"Газета ""Колокол"" издавалась в Лондоне.",не галлюцинация,0
rubq-20,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Мексика,Мексика.,не галлюцинация,0
rubq-20,В каком виде спорта прославилась Курникова?,теннис,Курникова прославилась в теннисе.,не галлюцинация,0
rubq-20,В каком городе родился Вольфганг Амадей Моцарт?,Зальцбург,"Зальцбург, Австрия.",не галлюцинация,0
rubq-20,В каком городе убили Джона Леннона?,Нью-Йорк,"Нью-Йорк, США.",не галлюцинация,0
rubq-20,Гражданином какой страны был изобретатель телеграфного кода Морзе?,США,"Изобретатель телеграфного кода Морзе, Сэмюэл Морзе, был гражданином США.",не галлюцинация,0
rubq-20,Как называлась столица Крымского ханства?,Бахчисарай,Бахчисарай.,не галлюцинация,0
rubq-20,Как назывался корабль Хана Соло?,тысячелетний сокол,"Корабль Хана Соло назывался ""Тысячелетний сокол"" (Millennium Falcon).",не галлюцинация,0
rubq-20,Какой музыкальный инструмент прославил имя Генри Стейнве?,рояль,Генри Стейнвей прославил **рояль** (фортепиано).,не галлюцинация,0
rubq-20,"Какой стране принадлежит авиакомпания ""Malev""?",Венгрия,"Авиакомпания ""Malev"" принадлежала Венгрии. Она прекратила существование в 2012 году.",не галлюцинация,0
rubq-20,"Кто автор поэмы ""Энеида""?",Вергилий,"Автор поэмы ""Энеида"" — римский поэт Вергилий.",не галлюцинация,0
rubq-20,"Кто автор романа ""Колыбель для кошки""?",Воннегут,"Автор романа ""Колыбель для кошки"" — Курт Воннегут.",не галлюцинация,0
rubq-20,"Кто написал роман ""Зима тревоги нашей""?",Джон Стейнбек,Джон Стейнбек.,не галлюцинация,0
rubq-20,Кто первым открыл Южную Америку?,Колумб,Христофор Колумб в 1498 году во время своего третьего путешествия.,не галлюцинация,0
rubq-20,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?",Гайдай,Гайдай.,не галлюцинация,0
rubq-20,Кто создал одно из чудес света – статую Зевса в Афинах?,Фидий,Скульптор Фидий.,не галлюцинация,0
rubq-20,Кто сражался с немейским львом?,Геракл,Геракл (Геркулес) сразился с немейским львом.,не галлюцинация,0
rubq-20,"Что на весь мир прославило маленькое парижское кафе ""Режанс""?",шахматы,"Кафе ""Режанс"" прославилось как место, где в XIX веке часто играли в шахматы, и где проходили знаменитые шахматные турниры. Оно стало центром шахматной жизни Европы.",не галлюцинация,0
rubq-20,"Кто автор ""Похождений бравого солдата Швейка""?",Гашек,Автор — Ярослав Гашек.,не галлюцинация,0
rubq-20,"В каком государстве находится Океанографический музей Жак-Ива Кусто? ""в ...""",Монако,в Монако,не галлюцинация,0
rubq-20,Где расположена Академия наук Армении,Ереван,"Академия наук Армении расположена в Ереване по адресу: проспект Маршала Баграмяна, 24.",не галлюцинация,0
rubq-20,Какая столица стоит на берегу Потамака?,Вашингтон,Вашингтон.,не галлюцинация,0
rubq-20,Какой библейский царь живет и почитается в исламе под именем Дауд,Давид,"Дауд (Давид) — библейский царь, который почитается в исламе как пророк **Дауд ибн Иша** (Дауд сын Ишая). Он упоминается в Коране как праведный правитель и посланник Аллаха.",не галлюцинация,0
rubq-20,Какой продукт составляет основу сырников,творог,Основу сырников составляет творог.,не галлюцинация,0
rubq-20,На каком острове жила древнегреческая поэтесса Сапфо?,Лесбос,Остров Лесбос.,не галлюцинация,0
rubq-20,Какому государству принадлежит народный парк Беловежская пуща,Польша,Народный парк Беловежская пуща принадлежит Беларуси и Польше.,не галлюцинация,0
rubq-20,В какой стране город Калькутта?,Индия,Город Калькутта (ныне Колката) находится в Индии.,не галлюцинация,0
rubq-20,Что скрывается за всякой фобией?,страх,"За фобией обычно скрывается иррациональный, чрезмерный страх перед определённым объектом, ситуацией или деятельностью, который может быть связан с травматическим опытом, генетической предрасположенностью или культурными факторами. Точный механизм зависит от конкретной фобии.",не галлюцинация,0
rubq-20,"Кто написал роман ""Великий Гэтсби""?",Ф. Скотт Фицджеральд,"Роман ""Великий Гэтсби"" написал Фрэнсис Скотт Фицджеральд.",не галлюцинация,0
rubq-20,В какой стране находится крупный город Фейсалабад?,Пакистан,Пакистан.,не галлюцинация,0
rubq-20,Как звали доктора Ватсона?,Джон,Джон Хэммиш Ватсон.,не галлюцинация,0
rubq-20,Как называется столица Китайской Народной Республики?,Пекин,Пекин.,не галлюцинация,0
rubq-20,"Кто автор сказки ""Бременские музыканты""?",Братья Гримм,"Автор сказки ""Бременские музыканты"" — Братья Гримм (Якоб и Вильгельм).",не галлюцинация,0
rubq-20,Кто был воспитателем Александра Македонского?,Аристотель,"Филипп II Македонский (отец Александра) приглашал для воспитания сына лучших учителей, среди которых наиболее известен Аристотель.",не галлюцинация,0
rubq-20,Кто стал президентом российской федерации в 2012 году?,Путин,Владимир Путин.,не галлюцинация,0
rubq-20,Кто играл гарри поттера,Дениел Редклиф,Дэниел Рэдклифф.,не галлюцинация,0
rubq-20,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер,"Фридрих Шиллер написал текст ""Оды к радости"" (нем. ""An die Freude"") в 1785 году. Музыку к ней сочинил Людвиг ван Бетховен для финала своей 9-й симфонии (1824).",не галлюцинация,0
rubq-20,"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский,Эразм Роттердамский.,не галлюцинация,0
rubq-20,Какая страна является родиной хереса?,Испания,Испания.,не галлюцинация,0
rubq-20,К какой династии принадлежала английская королева Елизавета I?,Тюдоры,Тюдоры.,не галлюцинация,0
rubq-20,Какой город является столицей Удмуртской республики?,Ижевск,Ижевск.,не галлюцинация,0
rubq-20,Кто придумал Бременских музыкантов?,Братья Гримм,"Сказку ""Бременские музыканты"" написал братья Гримм (Якоб и Вильгельм).",не галлюцинация,0
rubq-20,"Что греки называли ""водяным вором"" - клепсидрой?",Водяные часы,"Да, клепсидра (др.-греч. κλεψύδρα — «водяной вор») — это древнегреческий водяной часовой механизм, использовавшийся для измерения времени.",не галлюцинация,0
rubq-20,В какой стране воевали между собой в 15 веке Алая и Белая Розы?,Англия,"В Англии (Война Алой и Белой Розы, 1455–1487).",не галлюцинация,0
rubq-20,В каком виде спорта был неоднократным чемпионом СССР знаменитый комментатор Николай Озеров?,Теннис,Теннис.,не галлюцинация,0
rubq-20,Какая богиня в римской мифологии соответствует греческой Деметре?,Церера,Церера.,не галлюцинация,0
rubq-20,В какой прыжковой дисциплине выступал олимпийский чемпион Виктор Санеев?,Тройной прыжок,Тройной прыжок.,не галлюцинация,0
rubq-20,В каком регионе России находится город Майкоп?,Адыгея,"Город Майкоп находится в Республике Адыгея, Южный федеральный округ, Россия.",не галлюцинация,0
rubq-20,Какому композитору принадлежит заслуга разработке додекафонии (12-тоновая техника)?,Арнольд Шёнберг,"Возможно, Арнольду Шёнбергу, но некоторые исследователи считают, что идеи додекафонии развивали и другие композиторы его круга.",галлюцинация,1
rubq-20,"Что, с точки зрения астронома, представляют собой Плеяды?",Рассеянное скопление,"Плеяды — это рассеянное звёздное скопление в созвездии Тельца, одно из ближайших к Земле (около 444 световых лет). Содержит молодые (около 100 млн лет) горячие звёзды, окружённые отражательной туманностью. Видимо невооружённым глазом как группа из 6–7 звёзд.",не галлюцинация,0
rubq-20,"Какая автомобильная компания прикупила автозаводы чешской ""Шкоды""?","""Фольксваген""","В 1991 году контрольный пакет акций ""Шкоды"" был приобретен концерном Volkswagen AG.",не галлюцинация,0
rubq-20,Какой роман прославил имя Маргарет Митчелл?,"""Унесенные ветром""","""Унесённые ветром"" (1936).",не галлюцинация,0
rubq-20,В какой стране проводились 1-вые зимние Олимпийские игры?,Франция,"Первые зимние Олимпийские игры проводились во Франции, в Шамони, в 1924 году.",не галлюцинация,0
rubq-20,Как раньше назывался Стамбул?,Константинополь,Константинополь (до 1930 года официально) и Византий (в древности).,не галлюцинация,0
