dataset_name,query,correct_answer,model_answer,judge_score,is_hallucination
rubq-20,Какой стране принадлежит знаменитый остров Пасхи?,Чили,"Знаменитый остров Пасхи (Рапа-Нуи) принадлежит **Чили**.

Остров расположен в юго-восточной части Тихого океана и является частью чилийской территории. Он известен своими уникальными моаи — гигантскими каменными статуями, а также богатой культурой коренного народа рапануйцев.",не галлюцинация,0
rubq-20,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,'Роллинг Стоунз',"Имя **Мика Джаггера** неразрывно связано с легендарной рок-группой **The Rolling Stones**, в которой он является вокалистом, автором песен и одним из основателей. Группа была создана в 1962 году, и Джаггер остаётся её бессменным лидером на протяжении более чем 60 лет.

*The Rolling Stones* стали одной из самых влиятельных и долгоживущих рок-групп в истории, а Джаггер — иконой рок-музыки и поп-культуры.",не галлюцинация,0
rubq-20,Где находится Летний сад?,Санкт-Петербург,"Летний сад находится в Санкт-Петербурге, Россия. Это один из старейших и самых известных парков города, расположенный на берегу реки Фонтанки. Летний сад был заложен в 1704 году по приказу Петра I и является памятником садово-паркового искусства XVIII века.",не галлюцинация,0
rubq-20,Какой город является столицей Туркмении?,Ашхабад,Столицей Туркмении является город **Ашхабад** (туркм. *Aşgabat*).,не галлюцинация,0
rubq-20,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон,"Первая российская революционная газета ""Колокол"" издавалась Александром Герценом и Николаем Огаревым с 1857 года. Она выходила за пределами Российской империи, так как её создатели были вынуждены эмигрировать из-за политических преследований.

Газета ""Колокол"" печаталась в Лондоне, что позволяло избежать цензуры и распространять издание в России нелегально. Лондон был выбран как центр русской эмиграции и место, где можно было свободно издавать революционные материалы.

Таким образом, ответ: **Лондон**.",не галлюцинация,0
rubq-20,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Мексика,"Второй по высоте действующий вулкан Попокатепетль (5452 м) находится в **Мексике**. Он расположен в центральной части страны, между городами Мехико и Пуэбла.",не галлюцинация,0
rubq-20,В каком виде спорта прославилась Курникова?,теннис,"Анна Курникова прославилась в **теннисе**. Она была одной из самых известных теннисисток конца 1990-х — начала 2000-х годов, особенно благодаря своей игре в парном разряде. Вместе с соотечественницей **Мартиной Хингис** она выиграла два турнира Большого шлема (Australian Open и Уимблдон) в 1999 году и возглавляла мировой рейтинг в парном разряде.

Также Курникова была успешной одиночной теннисисткой, достигнув **8-го места в мировом рейтинге** в 2000 году. Несмотря на то, что она не выигрывала турниры Большого шлема в одиночном разряде, её имя стало широко известным благодаря высокой популярности и яркой игре.

Помимо тенниса, Курникова известна как модель и медийная личность.",не галлюцинация,0
rubq-20,В каком городе родился Вольфганг Амадей Моцарт?,Зальцбург,"Вольфганг Амадей Моцарт родился в городе **Зальцбург** (ныне Австрия).

Его полное имя при рождении — **Иоганн Хризостом Вольфганг Теофил Моцарт** (нем. *Johann Chrysostom Wolfgang Theophilus Mozart*), и он появился на свет 27 января 1756 года.

Зальцбург в то время был резиденцией архиепископа и входил в состав Священной Римской империи. Сегодня дом, где родился Моцарт, является музеем (Музей Моцарта) и одной из главных достопримечательностей города.",не галлюцинация,0
rubq-20,В каком городе убили Джона Леннона?,Нью-Йорк,"Джона Леннона убили в Нью-Йорке, в городе Нью-Йорк, США.",не галлюцинация,0
rubq-20,Гражданином какой страны был изобретатель телеграфного кода Морзе?,США,Изобретателем телеграфного кода Морзе был американский художник и изобретатель **Сэмюэл Морзе** (Samuel Morse).,не галлюцинация,0
